logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
15.6	552384	88980	78873	96700	34725	73391	254460	93108	48809	25945	12374	1413	439	40906	7400	24939	3892	1736
15.7	568764	86904	83089	96010	34147	75760	261840	101007	47180	25022	12719	1505	478	42646	7799	26635	4136	1873
15.8	580505	83004	88268	92788	34686	76593	265638	110800	43211	25019	12786	1512	476	45118	8176	27768	4587	2619
15.9	599474	81656	97606	96014	34880	78484	268237	121859	41263	25267	13021	1621	484	50174	8228	29163	4793	5248
16.0	617858	82886	107807	103333	36364	79438	268737	129986	41994	26108	12754	1540	490	56213	8797	30389	5293	7115
16.1	616572	81724	109454	105219	37118	80874	262353	131008	40278	26592	12879	1494	481	59759	9116	32454	5698	2427
16.2	630528	78691	118556	108938	37582	82688	260585	140735	37187	26466	12938	1537	563	66088	9634	33918	6094	2822
16.3	660569	79229	131064	116760	38333	87123	264404	153949	35678	26649	14358	1948	596	74222	10080	36248	7679	2835
16.4	675372	77324	142981	123926	37967	87640	254510	171329	34604	25609	14317	2159	635	82066	10718	37356	9787	3054
16.5	687582	79450	154182	136648	39274	88055	229960	193645	36693	26325	13888	1929	615	91843	11236	38402	9705	2996
16.6	694151	74180	170799	148519	38381	90977	213183	203091	32411	24625	14581	1874	689	106728	12048	39836	8726	3461
16.7	690695	70067	171553	134542	39671	95303	208950	212229	27840	25144	14566	1879	638	97543	12566	42644	8112	10688
16.8	675339	73810	169306	139335	40998	100803	194688	199515	29210	25284	17016	1984	316	99111	13688	45488	8575	2444
16.9	658261	77188	162890	129558	44097	104542	186487	193577	30384	26794	17511	2098	401	87985	15155	48015	9390	2345
17.0	633719	78900	148717	107148	47426	105611	179867	193667	29570	29015	17806	2299	210	67996	16164	51962	10330	2265
17.1	623262	80510	152403	107911	49777	109297	164758	191519	30233	29414	18620	2012	231	65260	17841	56057	10953	2292
17.2	586548	73142	145173	86568	49185	109438	143424	197933	25186	26734	18927	2008	287	52892	19887	58417	11140	2837
17.3	596943	77153	152517	86134	53612	106721	129884	220592	27789	28202	18568	2251	343	47405	22693	62950	12407	7062
17.4	583003	73400	156388	76231	59021	107458	119131	221162	22966	29982	17946	2220	286	42939	25936	66708	12980	7825
17.5	539469	70862	153714	66153	62069	110594	109456	191197	22726	28837	17263	1912	124	35642	29919	71515	14297	2341
17.6	494140	67851	159775	57379	68980	108980	92583	166218	18971	31119	15860	1740	161	34325	34096	74372	15066	1916
17.7	459800	64613	169463	52451	74119	115442	76902	140886	17138	30248	15336	1620	271	31355	39990	81360	15057	1701
17.8	454710	59945	186793	49946	76134	122000	64657	141973	16562	25417	15464	1844	658	29689	46506	87394	17489	5715
17.9	457742	61822	211556	53402	82566	131703	50099	139972	17842	25040	16422	2179	339	30793	52885	95495	17867	14516
18.0	417212	51805	219596	45563	90040	143248	40962	97399	7765	23719	18064	1689	568	32832	60970	105350	17146	3298
18.1	389415	47367	229399	27644	102280	152956	38361	68174	3871	23352	18087	1482	575	20695	72789	114708	17661	3546
18.2	380222	47361	241108	9533	117883	166153	36782	49871	360	25060	19976	1270	695	7660	85791	124924	18517	4216
18.3	395186	53696	266703	6160	129777	184379	35034	39836	2762	26279	22283	1302	1070	2778	95992	139095	19062	9776
18.4	409804	48548	296838	2733	138526	200969	29732	37844	15	23404	22777	832	1520	1744	106542	154140	18999	15413
18.5	419881	46323	317307	1	150739	213520	29975	25646	0	24476	20058	890	899	0	116598	167945	20197	12567
18.6	469063	67137	344827	0	182585	231922	31057	23499	0	44203	20553	1089	1292	0	126396	184171	21970	12290
18.7	482666	49198	377024	0	171993	257247	32600	20826	0	28180	18161	1237	1620	0	131873	209859	23717	11575
18.8	500433	30723	415446	0	160361	293029	32093	14950	0	11743	17030	1396	554	0	136465	245533	24781	8667
18.9	552768	31373	466435	0	165290	337863	36117	13498	0	11367	17725	1569	712	0	141630	288019	28304	8482
19.0	601497	31764	513025	0	170408	377939	40321	12829	0	12102	17252	1689	721	0	145958	326598	31936	8533
19.1	635276	32227	546174	0	167780	415388	42146	9962	0	9593	20067	1951	616	0	145447	360172	33607	6948
19.2	659340	30601	572868	0	150191	456544	43361	9244	0	5780	22141	2108	572	0	132819	398578	34654	6817
19.3	709355	32255	618951	0	132626	520382	46934	9413	0	4412	24785	2454	604	0	116899	457655	37316	7081
19.4	725194	34519	633707	0	103517	558626	52971	10080	0	6303	24847	2732	637	0	88710	494251	42849	7897
