logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
20.1	2947105	30713	695720	0	0	702017	95225	2149863	0	0	20880	4053	5780	0	0	567124	77829	50767
20.2	829364	15758	647597	0	0	656224	155746	17394	0	0	8568	6057	1133	0	0	508723	125583	13291
20.3	608963	16544	452075	0	0	274019	314920	20024	0	0	3204	11827	1513	0	0	202294	234523	15258
20.4	190297	13999	123664	0	0	2625	166190	21482	0	0	6	12693	1300	0	0	1781	105205	16678
20.5	190455	20230	104935	0	0	0	165945	24510	0	0	0	18389	1841	0	0	0	85783	19152
20.6	143105	16274	80417	0	0	0	113973	29132	0	0	0	14720	1554	0	0	0	57489	22928
20.7	150337	27293	75175	0	0	0	110268	40069	0	0	0	23302	3991	0	0	0	46178	28997
20.8	146410	20287	68011	0	0	0	43688	102722	0	0	0	5833	14454	0	0	0	15679	52332
20.9	66031	14734	32638	0	0	0	0	66031	0	0	0	0	14734	0	0	0	0	32638
21.0	669	45	261	0	0	0	0	669	0	0	0	0	45	0	0	0	0	261
